Chave,Latitude,Longitude
TRES PONTAS - MG,-21.3686224,-45.5122937
CABO FRIO - RJ,-22.8804369,-42.0189227
LADARIO - MS,-19.0036585,-57.6028285
CAETITE - BA,-14.0691776,-42.4852428
CAMPINA GRANDE DO SU - PR,,
SAO CARLOS - SP,-21.8788022,-47.8567619
SENHORA DE OLIVEIRA - MG,-20.793889,-43.344166
AGUAS LINDAS DE GOIAS - GO,-15.7392283,-48.2793357
BOM REPOUSO - MG,-22.4657069,-46.1485376
RIO DAS OSTRAS - RJ,-22.5269448,-41.944972
TOCANTINOPOLIS - TO,-6.3280931,-47.4217673
CARAZINHO - RS,-28.2981634,-52.7942363
GUAPIARA - SP,-24.18921,-48.529549
SANTA MARIA DA BOA VISTA - PE,-8.8001615,-39.8271099
APARECIDA DE GOIANIA - GO,-16.8226769,-49.2452546
GUARAPUAVA - PR,-25.3950986,-51.4622016
MEDICILANDIA - PA,-3.4438388,-52.8889236
SAO JOSE DO RIO PRET - SP,,
INHAPI - AL,-9.222095,-37.7480654
TIETE - SP,-23.1030302,-47.7147937
MANTENA - MG,-18.7809937,-40.9808279
ENGENHEIRO PAULO DE FRONTIN - RJ,-22.5504556,-43.6783403
FLORESTA - PE,-8.5969798,-38.5742878
POCO VERDE - SE,-10.7118367,-38.1748934
CAMPO LIMPO PAULISTA - SP,-23.207791,-46.788919
SAO PEDRO DO PARANA - PR,-22.8240967,-53.222755
RIO CLARO - RJ,-22.7229997,-44.1359986
MIRACEMA DO TOCANTINS - TO,-9.5617939,-48.3966536
SANTANA - AP,-0.0307068,-51.1789666
TUIUTI - SP,-22.819324,-46.6937627
ARMACAO DOS BUZIOS - RJ,-22.7597805,-41.8875267
POCOS DE CALDAS - MG,-21.7900318,-46.5647928
CAMACARI - BA,-12.6998188,-38.3260762
PASSO DE TORRES - SC,-29.325393,-49.7218979
GUARATINGUETA - SP,-22.8057839,-45.1908926
ITAGUARU - GO,-15.7613695,-49.6337242
IBIUNA - SP,-23.6544825,-47.220856
VALENTE - BA,-11.4127335,-39.4627304
